name,address,lat,lng,license_number,hotel_type,source,raw_data
上賓大飯店,104臺北市中山區錦州街23巷4號,25.0606550,121.5250910,臺北市旅館180號,,一般旅館,"{""_id"": 108, ""_importdate"": {""date"": ""2025-12-29 11:10:45.097109"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館180號"", ""旅館名稱"": ""上賓大飯店"", ""電話或手機號碼"": ""(02)25113232"", ""營業地址"": ""104臺北市中山區錦州街23巷4號"", ""客房最低定價"": ""1680"", ""客房最高定價"": ""18800"", ""房間數"": ""50""}"
世方旅居文旅,"104臺北市中山區松江路485號1至5樓,5樓之1-3,6-7樓,7樓之1-5",,,臺北市旅館413號,,一般旅館,"{""_id"": 259, ""_importdate"": {""date"": ""2025-12-29 11:10:45.286291"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館413號"", ""旅館名稱"": ""世方旅居文旅"", ""電話或手機號碼"": ""(02)25025000"", ""營業地址"": ""104臺北市中山區松江路485號1至5樓,5樓之1-3,6-7樓,7樓之1-5 "", ""客房最低定價"": ""3000"", ""客房最高定價"": ""18000"", ""房間數"": ""121""}"
世民酒店台北北門,100臺北市中正區中華路一段3號(1樓至26樓),25.0441280,121.5318020,臺北市旅館618號,,一般旅館,"{""_id"": 410, ""_importdate"": {""date"": ""2025-12-29 11:10:45.464655"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館618號"", ""旅館名稱"": ""世民酒店台北北門"", ""電話或手機號碼"": ""07-10161061"", ""營業地址"": ""100臺北市中正區中華路一段3號(1樓至26樓)"", ""客房最低定價"": ""6000"", ""客房最高定價"": ""20000"", ""房間數"": ""267""}"
丰居旅店北車館,100臺北市中正區重慶南路一段60號,25.0438240,121.5131010,臺北市旅館549號,,一般旅館,"{""_id"": 361, ""_importdate"": {""date"": ""2025-12-29 11:10:45.412783"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館549號"", ""旅館名稱"": ""丰居旅店北車館"", ""電話或手機號碼"": ""(02)23142121"", ""營業地址"": ""100臺北市中正區重慶南路一段60號"", ""客房最低定價"": ""10000"", ""客房最高定價"": ""12000"", ""房間數"": ""23""}"
丰居旅店忠孝館,106臺北市大安區復興南路1段126巷1號3樓(含3樓、3樓夾層、4樓),,,臺北市旅館544號,,一般旅館,"{""_id"": 356, ""_importdate"": {""date"": ""2025-12-29 11:10:45.405883"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館544號"", ""旅館名稱"": ""丰居旅店忠孝館"", ""電話或手機號碼"": ""(02)77116368"", ""營業地址"": ""106臺北市大安區復興南路1段126巷1號3樓(含3樓、3樓夾層、4樓)"", ""客房最低定價"": ""2420"", ""客房最高定價"": ""20000"", ""房間數"": ""21""}"
丰居旅店雙連館,"104臺北市中山區民生東路一段42號2,3樓,-1至-5",,,臺北市旅館447號,,一般旅館,"{""_id"": 287, ""_importdate"": {""date"": ""2025-12-29 11:10:45.319671"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館447號"", ""旅館名稱"": ""丰居旅店雙連館"", ""電話或手機號碼"": ""(02)23112555"", ""營業地址"": ""104臺北市中山區民生東路一段42號2,3樓,-1至-5"", ""客房最低定價"": ""7000"", ""客房最高定價"": ""10000"", ""房間數"": ""47""}"
丹居青旅,108臺北市萬華區漢中街154號,25.0413110,121.5066950,臺北市旅館696號,,一般旅館,"{""_id"": 474, ""_importdate"": {""date"": ""2025-12-29 11:10:45.532439"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館696號"", ""旅館名稱"": ""丹居青旅"", ""電話或手機號碼"": ""0977-066154"", ""營業地址"": ""108臺北市萬華區漢中街154號"", ""客房最低定價"": ""1500"", ""客房最高定價"": ""4000"", ""房間數"": ""11""}"
丹迪旅店-大安森林公園店,106臺北市大安區信義路三段33號3-10樓,25.0337650,121.5346210,臺北市旅館004號,,一般旅館,"{""_id"": 4, ""_importdate"": {""date"": ""2025-12-29 11:10:44.966434"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館004號"", ""旅館名稱"": ""丹迪旅店-大安森林公園店"", ""電話或手機號碼"": ""(02)27076899"", ""營業地址"": ""106臺北市大安區信義路三段33號3-10樓"", ""客房最低定價"": ""12000"", ""客房最高定價"": ""15000"", ""房間數"": ""73""}"
丹迪旅店-天母店,111臺北市士林區中山北路六段728巷2號1-7樓,25.1148540,121.5280930,臺北市旅館301號,,一般旅館,"{""_id"": 184, ""_importdate"": {""date"": ""2025-12-29 11:10:45.192268"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館301號"", ""旅館名稱"": ""丹迪旅店-天母店"", ""電話或手機號碼"": ""(02)28732222"", ""營業地址"": ""111臺北市士林區中山北路六段728巷2號1-7樓"", ""客房最低定價"": ""8000"", ""客房最高定價"": ""10000"", ""房間數"": ""54""}"
丹迪旅店-天津店,104臺北市中山區中山北路一段135巷13號,25.0515230,121.5234160,臺北市旅館252號,,一般旅館,"{""_id"": 149, ""_importdate"": {""date"": ""2025-12-29 11:10:45.151481"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館252號"", ""旅館名稱"": ""丹迪旅店-天津店"", ""電話或手機號碼"": ""(02)25415788"", ""營業地址"": ""104臺北市中山區中山北路一段135巷13號"", ""客房最低定價"": ""10000"", ""客房最高定價"": ""12000"", ""房間數"": ""30""}"
乃晶旅社,108臺北市萬華區西園路一段168號12樓,25.0368170,121.4992590,臺北市旅館103號,,一般旅館,"{""_id"": 58, ""_importdate"": {""date"": ""2025-12-29 11:10:45.036603"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館103號"", ""旅館名稱"": ""乃晶旅社"", ""電話或手機號碼"": ""(02)23043795"", ""營業地址"": ""108臺北市萬華區西園路一段168號12樓"", ""客房最低定價"": ""2000"", ""客房最高定價"": ""2000"", ""房間數"": ""10""}"
九昱晴美,104臺北市中山區林森北路568號2至13樓，3樓之1、2、3、5、6至12樓之1、2、3、5、6，13樓之1,,,臺北市旅館668號,,一般旅館,"{""_id"": 453, ""_importdate"": {""date"": ""2025-12-29 11:10:45.509799"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館668號"", ""旅館名稱"": ""九昱晴美 "", ""電話或手機號碼"": ""(02)66080807"", ""營業地址"": ""104臺北市中山區林森北路568號2至13樓，3樓之1、2、3、5、6至12樓之1、2、3、5、6，13樓之1"", ""客房最低定價"": ""10800"", ""客房最高定價"": ""21800"", ""房間數"": ""62""}"
二十輪旅店,108臺北市萬華區武昌街二段72號5樓、6樓、10樓,25.0447310,121.5061750,臺北市旅館381號,,一般旅館,"{""_id"": 239, ""_importdate"": {""date"": ""2025-12-29 11:10:45.261884"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館381號"", ""旅館名稱"": ""二十輪旅店"", ""電話或手機號碼"": ""(02)23810500"", ""營業地址"": ""108臺北市萬華區武昌街二段72號5樓、6樓、10樓"", ""客房最低定價"": ""4900"", ""客房最高定價"": ""5400"", ""房間數"": ""48""}"
二十輪旅店大安店,106臺北市大安區大安路一段183號，185號，185號2樓至7樓,,,臺北市旅館520號,,一般旅館,"{""_id"": 341, ""_importdate"": {""date"": ""2025-12-29 11:10:45.388616"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館520號"", ""旅館名稱"": ""二十輪旅店大安店"", ""電話或手機號碼"": ""(02)27032220"", ""營業地址"": ""106臺北市大安區大安路一段183號，185號，185號2樓至7樓"", ""客房最低定價"": ""4500"", ""客房最高定價"": ""26000"", ""房間數"": ""30""}"
互舍商旅台北館,103臺北市大同區重慶北路二段172號1至14樓、5樓之1至14樓之1及174號、保安街13、11號4樓,,,臺北市旅館491號,,一般旅館,"{""_id"": 322, ""_importdate"": {""date"": ""2025-12-29 11:10:45.366537"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館491號"", ""旅館名稱"": ""互舍商旅台北館"", ""電話或手機號碼"": ""(02)25533919"", ""營業地址"": ""103臺北市大同區重慶北路二段172號1至14樓、5樓之1至14樓之1及174號、保安街13、11號4樓"", ""客房最低定價"": ""3600"", ""客房最高定價"": ""36000"", ""房間數"": ""148""}"
五月家青旅 北車館,100臺北市中正區忠孝西路一段122號6樓,25.0473610,121.5110000,臺北市旅館663號,,一般旅館,"{""_id"": 448, ""_importdate"": {""date"": ""2025-12-29 11:10:45.504414"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館663號"", ""旅館名稱"": ""五月家青旅 北車館"", ""電話或手機號碼"": ""(02)23822929"", ""營業地址"": ""100臺北市中正區忠孝西路一段122號6樓"", ""客房最低定價"": ""600"", ""客房最高定價"": ""4000"", ""房間數"": ""5""}"
五月家青旅台大館,116臺北市文山區羅斯福路四段208號1-2樓,25.0105000,121.5370430,臺北市旅館140號,,一般旅館,"{""_id"": 85, ""_importdate"": {""date"": ""2025-12-29 11:10:45.073265"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館140號"", ""旅館名稱"": ""五月家青旅台大館"", ""電話或手機號碼"": ""(02)23652284"", ""營業地址"": ""116臺北市文山區羅斯福路四段208號1-2樓"", ""客房最低定價"": ""1000"", ""客房最高定價"": ""3600"", ""房間數"": ""13""}"
亞太飯店 北投館,112臺北市北投區幽雅路31號,25.1371460,121.5147950,臺北市旅館622號,,一般旅館,"{""_id"": 413, ""_importdate"": {""date"": ""2025-12-29 11:10:45.467837"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館622號"", ""旅館名稱"": ""亞太飯店 北投館"", ""電話或手機號碼"": ""(02)28983088"", ""營業地址"": ""112臺北市北投區幽雅路31號"", ""客房最低定價"": ""10000"", ""客房最高定價"": ""38390"", ""房間數"": ""140""}"
享住旅店 Just Live Inn,"100臺北市中正區漢口街一段4,6號2-4樓",25.0448180,121.5121480,臺北市旅館123號,,一般旅館,"{""_id"": 75, ""_importdate"": {""date"": ""2025-12-29 11:10:45.059389"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館123號"", ""旅館名稱"": ""享住旅店 Just Live Inn"", ""電話或手機號碼"": ""(02)23713151"", ""營業地址"": ""100臺北市中正區漢口街一段4,6號2-4樓"", ""客房最低定價"": ""3450"", ""客房最高定價"": ""4650"", ""房間數"": ""18""}"
享住青旅,100臺北市中正區館前路8號地下1層,25.0458170,121.5148920,臺北市旅館798號,,一般旅館,"{""_id"": 566, ""_importdate"": {""date"": ""2025-12-29 11:10:45.641320"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館798號"", ""旅館名稱"": ""享住青旅"", ""電話或手機號碼"": ""0970-939898"", ""營業地址"": ""100臺北市中正區館前路8號地下1層"", ""客房最低定價"": ""600"", ""客房最高定價"": ""3600"", ""房間數"": ""7""}"
京都商務旅館,104臺北市中山區長春路38號3-10樓,25.0549250,121.5263640,臺北市旅館063號,,一般旅館,"{""_id"": 35, ""_importdate"": {""date"": ""2025-12-29 11:10:45.005997"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館063號"", ""旅館名稱"": ""京都商務旅館"", ""電話或手機號碼"": ""(02)25673366"", ""營業地址"": ""104臺北市中山區長春路38號3-10樓  "", ""客房最低定價"": ""3000"", ""客房最高定價"": ""11000"", ""房間數"": ""40""}"
仙渡莊旅社,112臺北市北投區大度路三段304號,25.1236230,121.4657990,臺北市旅館209號,,一般旅館,"{""_id"": 122, ""_importdate"": {""date"": ""2025-12-29 11:10:45.114558"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館209號"", ""旅館名稱"": ""仙渡莊旅社"", ""電話或手機號碼"": ""(02)28913537"", ""營業地址"": ""112臺北市北投區大度路三段304號"", ""客房最低定價"": ""2000"", ""客房最高定價"": ""3000"", ""房間數"": ""14""}"
仲信大湖商旅,114臺北市內湖區成功路四段351、353號1至4樓,25.0841640,121.5953680,臺北市旅館587號,,一般旅館,"{""_id"": 390, ""_importdate"": {""date"": ""2025-12-29 11:10:45.443244"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館587號"", ""旅館名稱"": ""仲信大湖商旅"", ""電話或手機號碼"": ""(02)27932122"", ""營業地址"": ""114臺北市內湖區成功路四段351、353號1至4樓"", ""客房最低定價"": ""6000"", ""客房最高定價"": ""6000"", ""房間數"": ""27""}"
伊倫商務旅館,104臺北市中山區松江路123巷10號1-4樓,25.0529110,121.5342060,臺北市旅館304號,,一般旅館,"{""_id"": 187, ""_importdate"": {""date"": ""2025-12-29 11:10:45.195298"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館304號"", ""旅館名稱"": ""伊倫商務旅館"", ""電話或手機號碼"": ""(02)25076666"", ""營業地址"": ""104臺北市中山區松江路123巷10號1-4樓"", ""客房最低定價"": ""6000"", ""客房最高定價"": ""8000"", ""房間數"": ""31""}"
侘侘行旅,100臺北市中正區公園路13號8樓、9樓,25.0454900,121.5174000,臺北市旅館607號,,一般旅館,"{""_id"": 403, ""_importdate"": {""date"": ""2025-12-29 11:10:45.457047"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館607號"", ""旅館名稱"": ""侘侘行旅"", ""電話或手機號碼"": ""(02)89782345"", ""營業地址"": ""100臺北市中正區公園路13號8樓、9樓"", ""客房最低定價"": ""15000"", ""客房最高定價"": ""15000"", ""房間數"": ""49""}"
俞美飯店,108臺北市萬華區武昌街二段106號2-8樓,25.0450650,121.5050980,臺北市旅館408號,,一般旅館,"{""_id"": 254, ""_importdate"": {""date"": ""2025-12-29 11:10:45.280959"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館408號"", ""旅館名稱"": ""俞美飯店"", ""電話或手機號碼"": ""(02)23883008"", ""營業地址"": ""108臺北市萬華區武昌街二段106號2-8樓"", ""客房最低定價"": ""1500"", ""客房最高定價"": ""12000"", ""房間數"": ""42""}"
信星旅館,103臺北市大同區華陰街48號至48之11號4樓、50號至50之11號5樓,,,臺北市旅館467號,,一般旅館,"{""_id"": 304, ""_importdate"": {""date"": ""2025-12-29 11:10:45.342608"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館467號"", ""旅館名稱"": ""信星旅館"", ""電話或手機號碼"": ""(02)25562015"", ""營業地址"": ""103臺北市大同區華陰街48號至48之11號4樓、50號至50之11號5樓"", ""客房最低定價"": ""3200"", ""客房最高定價"": ""4200"", ""房間數"": ""57""}"
優美飯店,104臺北市中山區民生東路一段28號1-8樓,25.0579240,121.5240450,臺北市旅館774號,,一般旅館,"{""_id"": 542, ""_importdate"": {""date"": ""2025-12-29 11:10:45.605021"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館774號"", ""旅館名稱"": ""優美飯店"", ""電話或手機號碼"": ""(02)25255678"", ""營業地址"": ""104臺北市中山區民生東路一段28號1-8樓"", ""客房最低定價"": ""5250"", ""客房最高定價"": ""7650"", ""房間數"": ""63""}"
儷夏商旅,108臺北市萬華區中華路一段90號4樓、5樓、6樓、8樓,,,臺北市旅館417號,,一般旅館,"{""_id"": 262, ""_importdate"": {""date"": ""2025-12-29 11:10:45.289049"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館417號"", ""旅館名稱"": ""儷夏商旅"", ""電話或手機號碼"": ""(02)23116168"", ""營業地址"": ""108臺北市萬華區中華路一段90號4樓、5樓、6樓、8樓"", ""客房最低定價"": ""15000"", ""客房最高定價"": ""20000"", ""房間數"": ""85""}"
儷夏旅館-西寧館,108臺北市萬華區西寧南路30號3樓、9樓,25.0458900,121.5067290,臺北市旅館458號,,一般旅館,"{""_id"": 296, ""_importdate"": {""date"": ""2025-12-29 11:10:45.331926"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館458號"", ""旅館名稱"": ""儷夏旅館-西寧館"", ""電話或手機號碼"": ""(02)23616999"", ""營業地址"": ""108臺北市萬華區西寧南路30號3樓、9樓"", ""客房最低定價"": ""3000"", ""客房最高定價"": ""21000"", ""房間數"": ""31""}"
儷客旅店-站前店,100臺北市中正區忠孝西路一段72號5樓及5樓之1,,,臺北市旅館631號,,一般旅館,"{""_id"": 422, ""_importdate"": {""date"": ""2025-12-29 11:10:45.477085"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館631號"", ""旅館名稱"": ""儷客旅店-站前店"", ""電話或手機號碼"": ""(02)23118081"", ""營業地址"": ""100臺北市中正區忠孝西路一段72號5樓及5樓之1"", ""客房最低定價"": ""3000"", ""客房最高定價"": ""21000"", ""房間數"": ""30""}"
儷萊旅館,"100臺北市中正區中華路一段21號4-5樓,8-11樓",25.0447500,121.5312820,臺北市旅館211號,,一般旅館,"{""_id"": 124, ""_importdate"": {""date"": ""2025-12-29 11:10:45.117153"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館211號"", ""旅館名稱"": ""儷萊旅館"", ""電話或手機號碼"": ""(02)23111440"", ""營業地址"": ""100臺北市中正區中華路一段21號4-5樓,8-11樓"", ""客房最低定價"": ""3960"", ""客房最高定價"": ""12000"", ""房間數"": ""78""}"
儷萊飯店(普亨萊大飯店),100臺北市中正區中華路一段21號12樓,25.0447500,121.5312820,臺北市旅館207號,,一般旅館,"{""_id"": 120, ""_importdate"": {""date"": ""2025-12-29 11:10:45.111918"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館207號"", ""旅館名稱"": ""儷萊飯店(普亨萊大飯店)"", ""電話或手機號碼"": ""(02)23111440"", ""營業地址"": ""100臺北市中正區中華路一段21號12樓"", ""客房最低定價"": ""5000"", ""客房最高定價"": ""12000"", ""房間數"": ""13""}"
內江賓?,108臺北市萬華區西寧南路112號2-6樓,25.0415570,121.5058790,臺北市旅館114號,,一般旅館,"{""_id"": 67, ""_importdate"": {""date"": ""2025-12-29 11:10:45.048305"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館114號"", ""旅館名稱"": ""內江賓?"", ""電話或手機號碼"": ""(02)23812147"", ""營業地址"": ""108臺北市萬華區西寧南路112號2-6樓"", ""客房最低定價"": ""6800"", ""客房最高定價"": ""9500"", ""房間數"": ""17""}"
全界精品旅館,108臺北市萬華區漢口街二段54號10樓,25.0456300,121.5058600,臺北市旅館771號,,一般旅館,"{""_id"": 539, ""_importdate"": {""date"": ""2025-12-29 11:10:45.601869"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館771號"", ""旅館名稱"": ""全界精品旅館"", ""電話或手機號碼"": ""(02)23611871"", ""營業地址"": ""108臺北市萬華區漢口街二段54號10樓"", ""客房最低定價"": ""20000"", ""客房最高定價"": ""40000"", ""房間數"": ""59""}"
六福居,104臺北市中山區南京東路一段38號,25.0519780,121.5241580,臺北市旅館399號,,一般旅館,"{""_id"": 250, ""_importdate"": {""date"": ""2025-12-29 11:10:45.276446"", ""timezone_type"": 3, ""timezone"": ""Asia/Taipei""}, ""縣市代碼"": ""63000"", ""專用標識編號"": ""臺北市旅館399號"", ""旅館名稱"": ""六福居"", ""電話或手機號碼"": ""(02)77010165"", ""營業地址"": ""104臺北市中山區南京東路一段38號"", ""客房最低定價"": ""12000"", ""客房最高定價"": ""17000"", ""房間數"": ""49""}"
